Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2020;00:00;00:15;10.964,25;9.362,75;48,75
01.01.2020;00:15;00:30;10.908,50;9.311,75;65,25
01.01.2020;00:30;00:45;10.833;9.170,50;96
01.01.2020;00:45;01:00;10.788,25;9.065;124,75
01.01.2020;01:00;01:15;10.756;9.012,50;94,75
01.01.2020;01:15;01:30;10.704,50;8.980,50;128,25
01.01.2020;01:30;01:45;10.614,75;8.859,25;136,75
01.01.2020;01:45;02:00;10.537,25;8.740,75;221
01.01.2020;02:00;02:15;10.492,75;8.661,75;148
01.01.2020;02:15;02:30;10.422,75;8.579,50;218,25
01.01.2020;02:30;02:45;10.317,75;8.457,75;231,5
01.01.2020;02:45;03:00;10.254,75;8.382;225,5
01.01.2020;03:00;03:15;10.181;8.326,25;202,5
01.01.2020;03:15;03:30;10.098,75;8.232,75;226
01.01.2020;03:30;03:45;10.035,50;8.147,50;253,25
01.01.2020;03:45;04:00;9.986,50;8.054,75;272,25
01.01.2020;04:00;04:15;10.101,75;8.166,75;406
01.01.2020;04:15;04:30;10.071,75;8.124,50;426,75
01.01.2020;04:30;04:45;10.073,25;8.112,50;457,25
01.01.2020;04:45;05:00;10.050;8.090,25;512,25
01.01.2020;05:00;05:15;10.078;8.121,75;533,5
01.01.2020;05:15;05:30;10.011,50;8.064;462,75
01.01.2020;05:30;05:45;10.011,50;8.051,25;525,25
01.01.2020;05:45;06:00;9.946,50;8.004,75;598,5
01.01.2020;06:00;06:15;9.760;7.833;478,25
01.01.2020;06:15;06:30;9.726,75;7.836,50;476
01.01.2020;06:30;06:45;9.716,25;7.831,25;408,25
01.01.2020;06:45;07:00;9.762,50;7.891,75;274
01.01.2020;07:00;07:15;9.818,50;7.940,75;262,25
01.01.2020;07:15;07:30;9.885;7.997;336,75
01.01.2020;07:30;07:45;9.876,50;8.013;235,5
01.01.2020;07:45;08:00;9.889,75;8.045;174,75
01.01.2020;08:00;08:15;9.952;8.120,50;344,5
01.01.2020;08:15;08:30;10.002,50;8.132,75;498,5
01.01.2020;08:30;08:45;10.047,50;8.089;497,5
01.01.2020;08:45;09:00;10.196;8.110,75;482,75
01.01.2020;09:00;09:15;10.379,25;8.085,50;416
01.01.2020;09:15;09:30;10.534,50;8.025,25;416,75
01.01.2020;09:30;09:45;10.672,50;7.943,25;451
01.01.2020;09:45;10:00;10.902,25;7.886,25;593
01.01.2020;10:00;10:15;11.003,75;7.752,75;652,25
01.01.2020;10:15;10:30;11.099,50;7.640;750,75
01.01.2020;10:30;10:45;11.223,50;7.575,50;792,5
01.01.2020;10:45;11:00;11.348,50;7.501,25;797,75
01.01.2020;11:00;11:15;11.531,25;7.487,75;865,25
01.01.2020;11:15;11:30;11.666,75;7.464,25;823,25
01.01.2020;11:30;11:45;11.769,75;7.387,50;791
01.01.2020;11:45;12:00;11.836,50;7.337,25;835,25
01.01.2020;12:00;12:15;12.008,25;7.461;760,25
01.01.2020;12:15;12:30;12.074,50;7.427,75;686,5
01.01.2020;12:30;12:45;12.067,75;7.354,25;814,75
01.01.2020;12:45;13:00;12.032;7.301,75;773,25
01.01.2020;13:00;13:15;12.039,75;7.343,50;694
01.01.2020;13:15;13:30;11.986;7.391,50;605,25
01.01.2020;13:30;13:45;11.955,75;7.453;489,75
01.01.2020;13:45;14:00;11.889,25;7.607;394
01.01.2020;14:00;14:15;11.689,50;7.647,75;408
01.01.2020;14:15;14:30;11.591,50;7.821;327,25
01.01.2020;14:30;14:45;11.452;7.961;91
01.01.2020;14:45;15:00;11.446,25;8.259,50;56,25
01.01.2020;15:00;15:15;11.542,75;8.655;65,75
01.01.2020;15:15;15:30;11.520,25;8.962;86,75
01.01.2020;15:30;15:45;11.565;9.269,75;90,75
01.01.2020;15:45;16:00;11.653,50;9.553,75;76,5
01.01.2020;16:00;16:15;11.835,75;9.803;64,25
01.01.2020;16:15;16:30;12.049,25;9.955,50;63,75
01.01.2020;16:30;16:45;12.407;10.210,50;62,5
01.01.2020;16:45;17:00;12.737,75;10.423;69,5
01.01.2020;17:00;17:15;13.065,25;10.609,75;702
01.01.2020;17:15;17:30;13.171,75;10.602;741,75
01.01.2020;17:30;17:45;13.307,75;10.594;750,25
01.01.2020;17:45;18:00;13.380,75;10.570;765,25
01.01.2020;18:00;18:15;13.488;10.575;837,5
01.01.2020;18:15;18:30;13.453,50;10.396,50;826
01.01.2020;18:30;18:45;13.476,75;10.286,50;837
01.01.2020;18:45;19:00;13.359,50;10.075,25;881
01.01.2020;19:00;19:15;13.317,25;9.950,75;867,5
01.01.2020;19:15;19:30;13.167,75;9.792,75;894,75
01.01.2020;19:30;19:45;13.085,50;9.675,50;888,5
01.01.2020;19:45;20:00;12.947,25;9.473;889,5
01.01.2020;20:00;20:15;12.815;9.314,50;579,25
01.01.2020;20:15;20:30;12.693,50;9.207,50;516
01.01.2020;20:30;20:45;12.517,50;8.981,75;560,5
01.01.2020;20:45;21:00;12.392,50;8.885,75;577,5
01.01.2020;21:00;21:15;12.337,25;8.803;187,75
01.01.2020;21:15;21:30;12.248,75;8.698;125
01.01.2020;21:30;21:45;12.259,75;8.712;124,75
01.01.2020;21:45;22:00;12.179,25;8.642,50;117,75
01.01.2020;22:00;22:15;12.258,50;8.875,25;54,5
01.01.2020;22:15;22:30;12.133,25;8.901,75;31
01.01.2020;22:30;22:45;11.942,50;8.801;31,75
01.01.2020;22:45;23:00;11.765,50;8.662;31,25
01.01.2020;23:00;23:15;11.556;8.460,75;3,25
01.01.2020;23:15;23:30;11.452,25;8.319,75;3
01.01.2020;23:30;23:45;11.244;8.146,50;3
01.01.2020;23:45;00:00;11.095,75;7.997,50;81,25
02.01.2020;00:00;00:15;11.084,25;7.970,75;98
02.01.2020;00:15;00:30;11.042;7.911,75;172,25
02.01.2020;00:30;00:45;10.988,75;7.881,50;442,25
02.01.2020;00:45;01:00;10.844;7.784;528,5
02.01.2020;01:00;01:15;10.714;7.699,25;465,5
02.01.2020;01:15;01:30;10.648;7.654,75;484,5
02.01.2020;01:30;01:45;10.584,50;7.574,25;477,75
02.01.2020;01:45;02:00;10.576,25;7.549,50;486,5
02.01.2020;02:00;02:15;10.526,50;7.515,75;580,75
02.01.2020;02:15;02:30;10.466,25;7.449,25;621,75
02.01.2020;02:30;02:45;10.472,50;7.458,75;624,75
02.01.2020;02:45;03:00;10.460;7.499,50;649,5
02.01.2020;03:00;03:15;10.512;7.581,75;717,75
02.01.2020;03:15;03:30;10.444,75;7.555,25;779
02.01.2020;03:30;03:45;10.491;7.625;864,5
02.01.2020;03:45;04:00;10.551,25;7.669,25;837
02.01.2020;04:00;04:15;10.645,25;7.796,25;847,25
02.01.2020;04:15;04:30;10.694,75;7.836;761
02.01.2020;04:30;04:45;10.831,75;7.932;702
02.01.2020;04:45;05:00;10.936,50;8.005,75;655
02.01.2020;05:00;05:15;11.151,75;8.193,25;498,75
02.01.2020;05:15;05:30;11.233;8.229,25;436,75
02.01.2020;05:30;05:45;11.452;8.438,75;372,5
02.01.2020;05:45;06:00;11.589,50;8.493,50;164,25
02.01.2020;06:00;06:15;11.959,50;8.776;442,75
02.01.2020;06:15;06:30;12.297,50;9.042,25;487,75
02.01.2020;06:30;06:45;12.601;9.261,25;453
02.01.2020;06:45;07:00;12.960,50;9.526;303
02.01.2020;07:00;07:15;13.311,25;9.841;940,25
02.01.2020;07:15;07:30;13.584,50;10.069,50;883,75
02.01.2020;07:30;07:45;13.844,50;10.282,50;846,75
02.01.2020;07:45;08:00;14.026,75;10.488,75;845
02.01.2020;08:00;08:15;14.286,25;10.740;841,5
02.01.2020;08:15;08:30;14.367;10.791,25;811
02.01.2020;08:30;08:45;14.537,50;10.868,50;847
02.01.2020;08:45;09:00;14.688,25;10.768,25;843
02.01.2020;09:00;09:15;14.857;10.667;721,5
02.01.2020;09:15;09:30;14.951,75;10.554,75;557
02.01.2020;09:30;09:45;15.017,50;10.382,50;541,25
02.01.2020;09:45;10:00;15.053,25;10.273,25;535,75
02.01.2020;10:00;10:15;15.137,75;10.188,25;31,5
02.01.2020;10:15;10:30;15.144,50;9.986,25;20,25
02.01.2020;10:30;10:45;15.240,50;9.915;18,25
02.01.2020;10:45;11:00;15.323,25;9.811,25;22,5
02.01.2020;11:00;11:15;15.346;9.784,75;31,25
02.01.2020;11:15;11:30;15.407;9.798;37,25
02.01.2020;11:30;11:45;15.462;9.842,75;37,75
02.01.2020;11:45;12:00;15.509,75;9.868,50;40,5
02.01.2020;12:00;12:15;15.531,50;9.918,25;83,75
02.01.2020;12:15;12:30;15.482,50;9.909,50;101
02.01.2020;12:30;12:45;15.498;9.964;93,25
02.01.2020;12:45;13:00;15.435;10.054,75;108
02.01.2020;13:00;13:15;15.385;10.121,50;78,25
02.01.2020;13:15;13:30;15.337;10.101,50;107
02.01.2020;13:30;13:45;15.249,50;10.092,25;129
02.01.2020;13:45;14:00;15.124,50;10.065;100,25
02.01.2020;14:00;14:15;15.108,75;10.176;92,75
02.01.2020;14:15;14:30;15.092,50;10.371,75;125
02.01.2020;14:30;14:45;15.055,25;10.404,75;106,75
02.01.2020;14:45;15:00;14.991,25;10.422,25;190,75
02.01.2020;15:00;15:15;15.067,50;10.677,25;92,25
02.01.2020;15:15;15:30;15.050,50;10.762;68
02.01.2020;15:30;15:45;15.077,50;10.932,75;60,25
02.01.2020;15:45;16:00;15.133,25;11.014,25;46,75
02.01.2020;16:00;16:15;15.268;11.121,75;167,5
02.01.2020;16:15;16:30;15.418;11.172,50;205
02.01.2020;16:30;16:45;15.608,75;11.283,50;139
02.01.2020;16:45;17:00;15.890,25;11.466,25;180,25
02.01.2020;17:00;17:15;16.162,50;11.584,25;436
02.01.2020;17:15;17:30;16.270;11.507,75;477,75
02.01.2020;17:30;17:45;16.358,25;11.416;485,25
02.01.2020;17:45;18:00;16.396;11.327,50;466,5
02.01.2020;18:00;18:15;16.332,75;11.169,25;658,75
02.01.2020;18:15;18:30;16.336,25;11.006,25;650,5
02.01.2020;18:30;18:45;16.284;10.833,50;639
02.01.2020;18:45;19:00;16.257,25;10.690,25;653,5
02.01.2020;19:00;19:15;16.113,50;10.479,50;337,75
02.01.2020;19:15;19:30;16.009,50;10.321;197,75
02.01.2020;19:30;19:45;15.958,50;10.233,50;192,25
02.01.2020;19:45;20:00;15.806,75;10.051,25;365,25
02.01.2020;20:00;20:15;15.451,50;9.656,25;107,25
02.01.2020;20:15;20:30;15.108,25;9.247,50;64,5
02.01.2020;20:30;20:45;14.898,25;8.986,75;73,25
02.01.2020;20:45;21:00;14.705,75;8.702,25;57,25
02.01.2020;21:00;21:15;14.491,25;8.461,25;97
02.01.2020;21:15;21:30;14.448;8.360;136
02.01.2020;21:30;21:45;14.270;8.130,75;79
02.01.2020;21:45;22:00;14.191,25;8.032;216,5
02.01.2020;22:00;22:15;14.188,75;8.067,75;288,25
02.01.2020;22:15;22:30;14.035,50;7.828,25;389,25
02.01.2020;22:30;22:45;13.781;7.600;450,25
02.01.2020;22:45;23:00;13.576,75;7.399;487
02.01.2020;23:00;23:15;13.310;7.130,75;372,25
02.01.2020;23:15;23:30;13.104,75;6.902,25;251,5
02.01.2020;23:30;23:45;12.912,50;6.656;264,25
02.01.2020;23:45;00:00;12.767;6.443;383,5
03.01.2020;00:00;00:15;12.491,50;6.109,75;217,75
03.01.2020;00:15;00:30;12.308,75;5.830,75;475,75
03.01.2020;00:30;00:45;12.280,75;5.718,50;831,25
03.01.2020;00:45;01:00;12.143;5.480,75;978,25
03.01.2020;01:00;01:15;12.056,75;5.295,25;761,5
03.01.2020;01:15;01:30;11.938,25;5.127,25;867
03.01.2020;01:30;01:45;11.914,25;5.028;897,25
03.01.2020;01:45;02:00;11.836,25;4.900,75;922
03.01.2020;02:00;02:15;11.860,50;4.887,75;772,25
03.01.2020;02:15;02:30;11.732;4.696,75;780,5
03.01.2020;02:30;02:45;11.728;4.656,25;827
03.01.2020;02:45;03:00;11.683,50;4.574,75;876,75
03.01.2020;03:00;03:15;11.692,75;4.522,50;898
03.01.2020;03:15;03:30;11.688,50;4.460,75;980,25
03.01.2020;03:30;03:45;11.707;4.399,25;1.051
03.01.2020;03:45;04:00;11.762;4.353,75;1.129,75
03.01.2020;04:00;04:15;11.826,25;4.321,25;1.037,25
03.01.2020;04:15;04:30;11.890,25;4.312;1.106,75
03.01.2020;04:30;04:45;12.000;4.372;1.097,75
03.01.2020;04:45;05:00;12.074,25;4.401,25;1.082,50
03.01.2020;05:00;05:15;12.253,50;4.473,25;969,75
03.01.2020;05:15;05:30;12.350,50;4.493,75;900,25
03.01.2020;05:30;05:45;12.534;4.659,75;841,5
03.01.2020;05:45;06:00;12.725;4.802,25;829
03.01.2020;06:00;06:15;13.047,25;4.892,50;892
03.01.2020;06:15;06:30;13.308,50;5.070,50;772,5
03.01.2020;06:30;06:45;13.565,50;5.264;634
03.01.2020;06:45;07:00;13.814,25;5.452;459,25
03.01.2020;07:00;07:15;14.079,50;5.714,50;350,75
03.01.2020;07:15;07:30;14.316,75;5.940,75;343,5
03.01.2020;07:30;07:45;14.621,75;6.119,25;292
03.01.2020;07:45;08:00;14.834;6.329;229,75
03.01.2020;08:00;08:15;15.038,75;6.527,75;971
03.01.2020;08:15;08:30;15.171;6.625,25;927
03.01.2020;08:30;08:45;15.292,50;6.807,25;916,25
03.01.2020;08:45;09:00;15.361,75;6.752,50;883
03.01.2020;09:00;09:15;15.519;6.847,50;292,5
03.01.2020;09:15;09:30;15.637,50;6.869,25;265,5
03.01.2020;09:30;09:45;15.768;6.974;265,75
03.01.2020;09:45;10:00;15.804,50;6.943,25;251
03.01.2020;10:00;10:15;15.899,25;7.018,25;212,5
03.01.2020;10:15;10:30;15.936,25;6.833,50;227,25
03.01.2020;10:30;10:45;15.960,75;6.744,75;228,75
03.01.2020;10:45;11:00;16.008,25;6.694,25;225,75
03.01.2020;11:00;11:15;16.178,25;6.844,75;144
03.01.2020;11:15;11:30;16.267,75;6.902,50;130
03.01.2020;11:30;11:45;16.331,75;6.974;128,25
03.01.2020;11:45;12:00;16.341,75;7.000,50;129,5
03.01.2020;12:00;12:15;16.364,50;7.133,75;245
03.01.2020;12:15;12:30;16.333,75;7.316,50;234,75
03.01.2020;12:30;12:45;16.277;7.410,75;257,75
03.01.2020;12:45;13:00;16.198;7.304,75;223,5
03.01.2020;13:00;13:15;16.135;7.299,75;71,25
03.01.2020;13:15;13:30;16.009,75;7.237,50;90,25
03.01.2020;13:30;13:45;15.949,75;7.249,25;90
03.01.2020;13:45;14:00;15.750,75;6.949,50;169,75
03.01.2020;14:00;14:15;15.823,25;6.997,75;179,25
03.01.2020;14:15;14:30;15.698,25;6.984,75;134,75
03.01.2020;14:30;14:45;15.668,75;7.138,25;145,25
03.01.2020;14:45;15:00;15.629,75;7.268;211,75
03.01.2020;15:00;15:15;15.609,25;7.268,75;164,25
03.01.2020;15:15;15:30;15.575,75;7.299,50;148,75
03.01.2020;15:30;15:45;15.583,25;7.299,75;160,25
03.01.2020;15:45;16:00;15.546,25;7.144,50;168,75
03.01.2020;16:00;16:15;15.649,50;7.163,25;419,25
03.01.2020;16:15;16:30;15.634,25;7.166,25;394
03.01.2020;16:30;16:45;15.808;7.305,25;405,75
03.01.2020;16:45;17:00;16.017,75;7.447,50;351
03.01.2020;17:00;17:15;16.229;7.683;746
03.01.2020;17:15;17:30;16.267,75;7.675,50;744,5
03.01.2020;17:30;17:45;16.252,50;7.499,50;720,25
03.01.2020;17:45;18:00;16.264,75;7.396;708
03.01.2020;18:00;18:15;16.285;7.366;636,25
03.01.2020;18:15;18:30;16.191,75;7.223,50;637,75
03.01.2020;18:30;18:45;16.160,75;7.170;642,25
03.01.2020;18:45;19:00;16.102,25;7.049,50;681,5
03.01.2020;19:00;19:15;15.929,75;6.946,75;637,5
03.01.2020;19:15;19:30;15.815,25;6.828;694,25
03.01.2020;19:30;19:45;15.684,50;6.814;673,5
03.01.2020;19:45;20:00;15.478;6.794,50;669,75
03.01.2020;20:00;20:15;15.118;6.459;197
03.01.2020;20:15;20:30;14.912,25;6.251,50;210,5
03.01.2020;20:30;20:45;14.710,50;6.035;195,25
03.01.2020;20:45;21:00;14.474,25;5.789,75;210
03.01.2020;21:00;21:15;14.187,75;5.611,25;139,25
03.01.2020;21:15;21:30;14.096,25;5.618,50;118
03.01.2020;21:30;21:45;13.910;5.556,25;152,5
03.01.2020;21:45;22:00;13.786,25;5.417;155,25
03.01.2020;22:00;22:15;13.804,50;5.500,50;114,5
03.01.2020;22:15;22:30;13.738,25;5.399,25;111,75
03.01.2020;22:30;22:45;13.558,75;5.241,25;200
03.01.2020;22:45;23:00;13.379,75;5.095,75;293,75
03.01.2020;23:00;23:15;13.175;4.965,50;173,5
03.01.2020;23:15;23:30;12.969,50;4.720,75;204,25
03.01.2020;23:30;23:45;12.705,25;4.522,25;344,25
03.01.2020;23:45;00:00;12.620;4.562,25;342,25
04.01.2020;00:00;00:15;12.496,50;4.488,75;182,75
04.01.2020;00:15;00:30;12.222;4.233,50;213,25
04.01.2020;00:30;00:45;12.080,75;4.075,25;290,75
04.01.2020;00:45;01:00;12.082,25;4.086;401,75
04.01.2020;01:00;01:15;11.858,25;3.991;375,5
04.01.2020;01:15;01:30;11.724,50;3.989;355,25
04.01.2020;01:30;01:45;11.583,50;3.908;408,25
04.01.2020;01:45;02:00;11.602,25;4.016,25;480,25
04.01.2020;02:00;02:15;11.554,50;4.033,75;397,75
04.01.2020;02:15;02:30;11.420,50;3.997,50;431,5
04.01.2020;02:30;02:45;11.474,50;4.110,75;478
04.01.2020;02:45;03:00;11.407,75;4.129,75;474
04.01.2020;03:00;03:15;11.363,25;4.095;520,75
04.01.2020;03:15;03:30;11.333,50;4.020,25;675,75
04.01.2020;03:30;03:45;11.351,50;4.013,25;723,25
04.01.2020;03:45;04:00;11.422,25;4.000,75;719,75
04.01.2020;04:00;04:15;11.511;3.991;667,25
04.01.2020;04:15;04:30;11.524,50;3.895,25;673,5
04.01.2020;04:30;04:45;11.620,50;3.894;681,25
04.01.2020;04:45;05:00;11.625;3.797,25;733,5
04.01.2020;05:00;05:15;11.687;3.730,50;685
04.01.2020;05:15;05:30;11.716;3.652,75;770,25
04.01.2020;05:30;05:45;11.706,50;3.542,25;844,5
04.01.2020;05:45;06:00;11.706,25;3.403,50;851,75
04.01.2020;06:00;06:15;11.710,25;3.126;821,5
04.01.2020;06:15;06:30;11.732,75;3.102,75;620,5
04.01.2020;06:30;06:45;11.821,75;3.166;620
04.01.2020;06:45;07:00;11.985,50;3.290,75;585,75
04.01.2020;07:00;07:15;12.229,75;3.457;601,5
04.01.2020;07:15;07:30;12.366;3.540,25;565
04.01.2020;07:30;07:45;12.629,25;3.704,50;391,5
04.01.2020;07:45;08:00;12.821,25;3.855,75;282
04.01.2020;08:00;08:15;13.050,75;4.051,75;199,75
04.01.2020;08:15;08:30;13.136;4.069,50;159,5
04.01.2020;08:30;08:45;13.276,25;4.082,75;177,25
04.01.2020;08:45;09:00;13.512,75;4.170;252,75
04.01.2020;09:00;09:15;13.791;4.285;338,5
04.01.2020;09:15;09:30;13.982,75;4.323,50;361,5
04.01.2020;09:30;09:45;14.151,25;4.328;371,5
04.01.2020;09:45;10:00;14.345,50;4.352,25;391,5
04.01.2020;10:00;10:15;14.612,50;4.490,25;454,75
04.01.2020;10:15;10:30;14.750,50;4.533,75;420,5
04.01.2020;10:30;10:45;14.859,50;4.540,25;424,5
04.01.2020;10:45;11:00;14.968,50;4.509,75;429,75
04.01.2020;11:00;11:15;15.020;4.482,25;183,5
04.01.2020;11:15;11:30;15.163;4.547,75;189,5
04.01.2020;11:30;11:45;15.293,25;4.537,75;141,5
04.01.2020;11:45;12:00;15.334,50;4.500,25;131,25
04.01.2020;12:00;12:15;15.337,75;4.455;161,75
04.01.2020;12:15;12:30;15.412,75;4.528;230,5
04.01.2020;12:30;12:45;15.466,25;4.582,50;256,5
04.01.2020;12:45;13:00;15.350;4.498,50;292
04.01.2020;13:00;13:15;15.213;4.413;219,5
04.01.2020;13:15;13:30;15.113,25;4.406,50;220
04.01.2020;13:30;13:45;14.991;4.314;248,5
04.01.2020;13:45;14:00;14.901;4.281,50;318
04.01.2020;14:00;14:15;14.906;4.379,25;502,75
04.01.2020;14:15;14:30;14.877;4.501,50;464
04.01.2020;14:30;14:45;14.752,50;4.578,75;370,25
04.01.2020;14:45;15:00;14.649;4.596;373,25
04.01.2020;15:00;15:15;14.757,75;4.895,75;560,75
04.01.2020;15:15;15:30;14.731,50;5.020,75;526
04.01.2020;15:30;15:45;14.667,75;5.021,75;453,75
04.01.2020;15:45;16:00;14.670,50;5.057,50;423,75
04.01.2020;16:00;16:15;14.809,50;5.204;447
04.01.2020;16:15;16:30;14.885,75;5.403,25;378,25
04.01.2020;16:30;16:45;15.051,25;5.635,50;311,5
04.01.2020;16:45;17:00;15.312,75;5.995;306,25
04.01.2020;17:00;17:15;15.494;6.271,75;398,5
04.01.2020;17:15;17:30;15.678,25;6.510,75;239,5
04.01.2020;17:30;17:45;15.721;6.610,75;231,25
04.01.2020;17:45;18:00;15.767,75;6.761;170,75
04.01.2020;18:00;18:15;15.782,50;6.929,25;130,75
04.01.2020;18:15;18:30;15.727,25;7.037,75;129,25
04.01.2020;18:30;18:45;15.595,25;7.062,50;122,5
04.01.2020;18:45;19:00;15.462,75;7.128,50;108,5
04.01.2020;19:00;19:15;15.364,75;7.209,25;198,5
04.01.2020;19:15;19:30;15.150,75;7.148,50;201,75
04.01.2020;19:30;19:45;14.997,50;7.231;207
04.01.2020;19:45;20:00;14.749,75;7.137,50;192,5
04.01.2020;20:00;20:15;14.531,50;7.066,25;306
04.01.2020;20:15;20:30;14.245,25;6.931,25;425
04.01.2020;20:30;20:45;14.008,75;6.904,50;520,25
04.01.2020;20:45;21:00;13.786;6.862,25;542,5
04.01.2020;21:00;21:15;13.647,75;6.987;287,5
04.01.2020;21:15;21:30;13.544,50;7.130,25;177,25
04.01.2020;21:30;21:45;13.462;7.248;124
04.01.2020;21:45;22:00;13.304,25;7.362,50;99,5
04.01.2020;22:00;22:15;13.301,50;7.648,50;193,5
04.01.2020;22:15;22:30;13.186,50;7.708,25;160,5
04.01.2020;22:30;22:45;13.004,50;7.682,25;175,5
04.01.2020;22:45;23:00;12.892,25;7.764,25;181,75
04.01.2020;23:00;23:15;12.630,75;7.658,50;29,5
04.01.2020;23:15;23:30;12.444,75;7.617,50;34
04.01.2020;23:30;23:45;12.279,75;7.606,50;27,5
04.01.2020;23:45;00:00;12.100;7.532,75;34,5
05.01.2020;00:00;00:15;11.815;7.414,25;226,25
05.01.2020;00:15;00:30;11.667,75;7.434,75;146,75
05.01.2020;00:30;00:45;11.593,75;7.465;319,75
05.01.2020;00:45;01:00;11.450;7.449,75;421,5
05.01.2020;01:00;01:15;11.225,75;7.354,75;424,25
05.01.2020;01:15;01:30;11.089;7.310,50;429,75
05.01.2020;01:30;01:45;11.034,50;7.315;479
05.01.2020;01:45;02:00;10.996,75;7.413,25;530,25
05.01.2020;02:00;02:15;11.024,75;7.572;477,25
05.01.2020;02:15;02:30;10.989,50;7.627,75;489,5
05.01.2020;02:30;02:45;10.905,50;7.570,50;504
05.01.2020;02:45;03:00;10.819,25;7.567,25;423
05.01.2020;03:00;03:15;10.764,50;7.617;435,75
05.01.2020;03:15;03:30;10.726,75;7.622,25;400,25
05.01.2020;03:30;03:45;10.638,25;7.583,50;386,75
05.01.2020;03:45;04:00;10.608;7.613;364,5
05.01.2020;04:00;04:15;10.705;7.800,25;475,25
05.01.2020;04:15;04:30;10.717,25;7.836;477,25
05.01.2020;04:30;04:45;10.630,75;7.775,25;450,75
05.01.2020;04:45;05:00;10.639,50;7.764;460,75
05.01.2020;05:00;05:15;10.660,75;7.794,50;453,75
05.01.2020;05:15;05:30;10.609,75;7.781,25;573,5
05.01.2020;05:30;05:45;10.524;7.772,50;441,75
05.01.2020;05:45;06:00;10.404,50;7.644;485,75
05.01.2020;06:00;06:15;10.304;7.559,75;449,25
05.01.2020;06:15;06:30;10.266,25;7.546,25;409,75
05.01.2020;06:30;06:45;10.313,25;7.632,50;412,5
05.01.2020;06:45;07:00;10.429,50;7.758,50;362,75
05.01.2020;07:00;07:15;10.558,75;7.931,50;378,25
05.01.2020;07:15;07:30;10.650;8.065;338,75
05.01.2020;07:30;07:45;10.647;8.074,75;120,25
05.01.2020;07:45;08:00;10.863,75;8.341,50;120,5
05.01.2020;08:00;08:15;10.991,25;8.483,25;132,75
05.01.2020;08:15;08:30;11.118,50;8.637,75;81,25
05.01.2020;08:30;08:45;11.317;8.793,75;47,75
05.01.2020;08:45;09:00;11.506,25;8.917,25;37,75
05.01.2020;09:00;09:15;11.760,50;9.034,75;74,25
05.01.2020;09:15;09:30;11.942,75;9.063,50;92,75
05.01.2020;09:30;09:45;12.144;9.164,50;80
05.01.2020;09:45;10:00;12.349,75;9.227,75;76
05.01.2020;10:00;10:15;12.502;9.283;264
05.01.2020;10:15;10:30;12.628,75;9.270,50;301,75
05.01.2020;10:30;10:45;12.861,25;9.386,75;178,25
05.01.2020;10:45;11:00;12.983;9.386,25;154,75
05.01.2020;11:00;11:15;13.142,75;9.486,75;174
05.01.2020;11:15;11:30;13.344,25;9.588,25;192,75
05.01.2020;11:30;11:45;13.459;9.635,75;173,75
05.01.2020;11:45;12:00;13.503,75;9.627;168,25
05.01.2020;12:00;12:15;13.569;9.718;175,75
05.01.2020;12:15;12:30;13.540;9.702,25;132,75
05.01.2020;12:30;12:45;13.538,75;9.771,75;135
05.01.2020;12:45;13:00;13.456,50;9.743,75;102,25
05.01.2020;13:00;13:15;13.370,75;9.698,25;86,5
05.01.2020;13:15;13:30;13.202,50;9.555,50;54,5
05.01.2020;13:30;13:45;13.153;9.553,75;90,75
05.01.2020;13:45;14:00;13.044;9.481,75;53
05.01.2020;14:00;14:15;13.008;9.533;34
05.01.2020;14:15;14:30;12.902,75;9.505,50;30,75
05.01.2020;14:30;14:45;12.816,25;9.477,25;68,5
05.01.2020;14:45;15:00;12.870,50;9.553;78
05.01.2020;15:00;15:15;12.953,50;9.742,50;84
05.01.2020;15:15;15:30;12.912,25;9.762;93,25
05.01.2020;15:30;15:45;12.909,50;9.731,25;35,25
05.01.2020;15:45;16:00;12.944;9.703,75;28,25
05.01.2020;16:00;16:15;13.073,25;9.780,50;50
05.01.2020;16:15;16:30;13.176,75;9.762;102,5
05.01.2020;16:30;16:45;13.440,75;9.966,25;80
05.01.2020;16:45;17:00;13.756,75;10.183,25;78,75
05.01.2020;17:00;17:15;14.058,25;10.357,25;329,25
05.01.2020;17:15;17:30;14.215,50;10.394,25;330,5
05.01.2020;17:30;17:45;14.326,75;10.377;395,25
05.01.2020;17:45;18:00;14.476,50;10.422,75;415,75
05.01.2020;18:00;18:15;14.500,75;10.359,25;709,75
05.01.2020;18:15;18:30;14.515,25;10.387,25;704,75
05.01.2020;18:30;18:45;14.486,50;10.353,75;733
05.01.2020;18:45;19:00;14.433,75;10.219,50;759
05.01.2020;19:00;19:15;14.300,25;10.122;711,25
05.01.2020;19:15;19:30;14.190,25;10.061;729,75
05.01.2020;19:30;19:45;14.072,50;9.903,75;701
05.01.2020;19:45;20:00;13.965;9.716,25;635,5
05.01.2020;20:00;20:15;13.766,50;9.477,25;565
05.01.2020;20:15;20:30;13.601,75;9.259,25;533
05.01.2020;20:30;20:45;13.451,75;8.992,25;534,25
05.01.2020;20:45;21:00;13.343;8.833,75;399,75
05.01.2020;21:00;21:15;13.243;8.733;131,75
05.01.2020;21:15;21:30;13.156,50;8.640,50;132,25
